1,Why is the gravitational attraction between you and your computer too small for you to notice?,Neither you nor your computer has enough mass to cause a noticeable gravitational attraction,You and your computer are too close for the gravitational attraction to be significant,Humans are too small to detect the force of gravity,The gravitational attraction between you and your computer is disrupted by the larger gravitational field generated by the earth
2,Which of the following is an example of the Weak Interaction?,"A neutron in a radioactive Cesium atom is converted into a proton, leading to the release of a few particles",Light from the sun collides with a satellite orbiting Earth and exerts a small push on the satellite,Two protons bound together in a Helium nucleus resist separation despite a repulsive electromagnetic force acting on them,A distant galaxy exerts a small but detectable gravitational pull on the Earth
3,Roughly how many times stronger is the Weak Interaction than gravity?,"10,000,000,000,0
00,000",10,"1,000,000",The Weak Interaction is less strong than gravity
4,Why don’t you and your computer experience any attraction or repulsion due to the Weak Interaction?,The weak interaction only acts over extremely small distances,The weak interaction between you and your computer is counteracted by the other forces,You and your computer have no net charge,Neither you nor your computer has enough mass to induce a significant Weak Interaction
5,Which of the following is a difference between gravity and the electromagnetic force?,Gravity is only ever attractive while the electromagnetic force can both attract and repel,Gravity is a much more powerful force than electromagnetis m,Gravity can only act over large distances while the electromagnetic force can act over large and small distances,The electromagnetic force can only act over small distances while gravity can act over small or large distances
6,Electricity and magnetism can be shown to be two cases of the same force if we:,View them in different frames of reference,Switch which charges we call positive and which charges we call negative,Consider both the effects over small distances and the effects over large distances,Consider both the attractive and repulsive properties of the two forces
7,Which of the following are the primary two fundamental forces acting in opposition between the positively-charged protons in an atom’s nucleus?,The Strong Force and the Electromagnetic Force,Gravity and the Weak Interaction,Gravity and the Electromagnetic Force,The Strong Force and the Weak Interaction
8,Why does the universe have a very uneven distribution of mass but a relatively equal distribution of charge?,Positive and negative charges cancel out and become a neutral charge when they combine while masses only grow larger as they combine,Masses tend to repel while charges tend to attract,Masses tend to attract while charges tend to repel,The gravitational interaction acting between masses is stronger than the electromagnetic interaction acting between charges
9,"In your body, there are a tremendous amount of negatively-charged electrons. Your computer also contains a huge number of
negatively-charged electrons. We know that like charges repel, but you and your computer are not repelled apart. Which of the
following explains why?",The electrons’ negative charges are balanced by the positive charges of an equal number of protons,An attractive gravitational force balances out this repulsion,The Electromagnetic force only acts over very small distances,The Electromagnetic force only acts over very large distances
10,Which of the following is a similarity between the Weak Interaction and the Strong Force?,Both act only over very small distances,Both are stronger than the Electromagnetic force,Both are weaker than Gravity,Both are responsible for attractions between distant galaxies
11,Which force is stronger than the Electromagnetic Force?,Strong Force,Gravity,Weak Interaction,Electromagnetic Force is the strongest
12,Roughly how many times stronger is the Strong Force than gravity?,10ˆ38,100,10ˆ18,The Strong Force is weaker than gravity
13,Which of the following would have to be true for the Weak Interaction to cause repulsion or attraction between two objects?,The objects would have to be extremely close to each other,The objects would have to have the same mass,The objects would have to be extremely far away from each other,The objects would have to have different masses
14,Which force keeps us from jumping off of Earth?,Gravity,Strong Force,Weak Interaction,Electromagnetic Force
15,What does the Coulomb Force refer to?,The repulsion of objects with similar charge and the attraction of objects with different charge,The repulsion of objects with similar mass and the attraction of objects with different mass,The repulsion of objects with similar temperature and the attraction of objects with different temperature,The repulsion of objects with similar density and the attraction of objects with different density
16,Which fundamental force is responsible for holding the nucleus of an atom together?,Strong Force,Gravity,Electromagnetic force,Weak interaction
17,How does the electromagnetic force differ from the strong and weak nuclear forces?,"Electromagnetic force is a
long-range force, while strong and weak nuclear forces are
short-range
forces.",The electromagnetic force is much weaker than the strong and weak nuclear forces.,"The electromagnetic force only affects particles that have an electric charge, while the strong and weak nuclear forces can affect any particle.","The electromagnetic force is mediated by the exchange of bosons, while the strong and weak nuclear forces are mediated by the exchange of gluons and photons, respectively."
18,Which of the following particles is not affected by the electromagnetic force?,Neutron,Proton,Electron,All of the above are affected
19,Which of the following forces is most influential at the largest scales of the universe?,Gravitational force,Electromagnetic force,Strong force,Weak interaction
20,Which of the following is true about gravity?,It is the weakest fundamental force.,It is the strongest fundamental force.,It is only noticeable on the molecular scale.,It is responsible for beta minus decay.
21,Which of the following is an example of beta minus decay?,A neutron turns into a proton.,A proton turns into a neutron.,An electron turns into a proton.,An electron turns into a neutron.
22,How does the strength of the electromagnetic force compare to the strength of the weak force?,It is 10^12 times stronger,It is about the same,It is 10 times weaker,It is 10^2 times stronger
23,Why do two protons in a nucleus not repel each other due to the Coulomb force?,Because there is a stronger force than the Coulomb force that keeps them together,Because they have opposite charges,Because there are electrons around the nucleus that attract them,Because they are too far apart
24,Your friend suggests that the electromagnetic force keeps Saturn in orbit around the sun. Why is she incorrect?,The gravitational force keeps saturn in orbit around the sun,The weak interactions keeps saturn in orbit around the sun,The strong force keeps saturn in orbit around the sun,"She is not incorrect, the electromagnetic force keeps saturn in orbit around the sun"
25,For what reason might your chemistry course not discuss gravity on the subatomic level?,The other forces completely dominate interactions on subatomic levels,Gravity does not exist at a subatomic level,Your professor mistakenly neglected this significant topic,The other forces completely dominate interactions on subatomic levels
26,The term “nucleons” does not include:,Electrons,Protons,Neutrons,It includes all of the above
27,Why doesn’t the weak interaction operate between the planets in our solar system?,Because it only applies to very small distances,Because it is the weakest fundamental force,Because objects with large mass are immune to the weak interaction,Because the weak interaction only works on Earth
28,What is the significance of concentration of mass in regards to the fundamental forces?,It allows gravitational force to operate over macro scales,It allows electromagnetic force to operate over macro scales,It allows gravitational force to operate over micro scales,It allows electromagnetic force to operate over micro scales
29,"Without the strong force, what would hypothetically happen to the subatomic particles in the nucleus of an atom?",Like charges would repel each other due to the Coulomb force,Like charges would continue to be situated right next to each other due to the Coulomb force,Like charges would continue to be situated right next to each other due to the gravitational force,Like charges would repel each other due to the gravitational force
30,What do the gravitational force and electromagnetic force have in common?,They are both weaker than the strong force,They both operate over very large distances,They are both stronger than the weak interaction,They are both consequential on a subatomic level
1,Which of the following describes the effect of gravity on a cloud of atoms,The atoms move to the center of the mass of the atoms,The atoms move away from the center of the mass of the atoms,The atoms spin around the center of the mass of the atoms,Gravity has no effect on a cloud of atoms
2,Which of the following occurs as a cloud of atoms gets more dense?,Temperature increases,Temperature decreases,Mass increases,Mass decreases
3,Which temperature does a cloud of hydrogen atoms approach as it gets denser in the process of becoming a star,10 million Kelvin,0 Kelvin,"10,000 Kelvin",10 Billion Kelvin
4,Which of the following can overcome the Coulomb Force?,High temperature and high pressure,Low temperature and high pressure,High temperature and low pressure,Low temperature and low pressure
5,Which of the following prevents a star from collapsing as a result of gravity?,Energy released from the fusion of the hydrogen atoms provides outward pressure,The fusion of hydrogen atoms decreases the temperature of the star,The gravitational pull of other stars nearby,The Weak Interaction
6,How are supermassive stars different from other stars?,Fusion occurs very fast,Fusion occurs very slow,Fusion occurs in the reverse order,Fusion does not occur at all
7,Which of the following is the FIRST product of two hydrogen atoms fusing together?,Deuterium,Oxygen,Helium,Beryllium
8,"Once hydrogen atoms get close enough together, which of the following keeps them together?",The Strong Force,The Electromagnetic Force,Gravity,The Weak Interaction
9,"When two nuclei fuse together, how does the mass of the combined nucleus compare to the mass of each of the original nucleus?",The mass of the combined nucleus is smaller,The mass of the combined nucleus is larger,The mass of the combined nucleus is the same,It is not possible for two nuclei to fuse together
10,"If we say that our Sun is a main sequence star, what does that tell us about the Sun?",Hydrogen atoms in the Sun are fusing together and becoming Helium,The Sun is a supermassive star,The Sun does not experience the force of Gravity but does experience the Coulomb Force,The Sun is comprised of 10 million Hydrogen atoms
11,Which force would cause a massive cloud of hydrogen atoms to move together?,Gravity,Strong Force,Weak Interaction,Electromagnetic Force
12,Which of the following occurs as density increases?,Temperature increases,Volume increases,Mass increases,None of the above
13,Which of the following is a product of Hydrogen fusion?,Helium,Oxygen,Cesium,Carbon
14,Which of the following terms accurately describes the Sun?,Main sequence star,Supermassive star,Alternative sequence star,None of the above
15,Which of the following terms best describes a fusion reaction?,Ignition,Combustion,Decomposition,Displacement
16,What happens to the Coulomb force when the two nucleuses get close enough to each other?,It becomes weaker,It becomes stronger,It disappears,It becomes unpredictable
17,What happens when two hydrogen nuclei fuse together?,They degrade into neutrons,They degrade into electrons,They degrade into protons,They combust
18,What is the resulting energy of the fusion reaction?,Positive energy,Negative energy,No energy,Indeterminate
19,What does the energy from the fusion reaction provide for the star?,Outward pressure,Inward pressure,No pressure,Indeterminate
20,"What, most specifically, defines fusion ignition?",The fusion of two hydrogen nuclei to form helium,The combustion of hydrogen and oxygen,The release of energy from the Sun,The formation of a star
21,What is deuterium?,A form of heavy hydrogen with one neutron and one proton,Another name for helium,A molecule made up of two hydrogen atoms,A type of subatomic particle
22,What happens to the cloud as it gets denser and denser?,The hydrogen atoms start to interact with each other,The hydrogen atoms begin to repel each other,The helium atoms start to interact with each other.,The helium atoms begin to repel each other
23,Why is the energy released during fusion greater than the mass difference between the reactants and products?,Because of the conversion of mass to energy,Because of the conversion of protons to neutrons,Because of the conversion of neutrons to protons,Because of the release of positrons
24,"If a cloud of hydrogen atoms were to expand, which of the following would occur?",None of the above,Interactions between atoms would increase,Density of the atoms would increase,The temperature would increase
25,What is required to draw together the positive nuclei of 2 atoms?,Huge pressures,Low temperatures,The Coulomb Force,The Strong Force
26,What provides the pressure for fusion ignition once the star is created?,External molecules trying to get in,Increasing volume of the nucleus,Decreasing temperature of the hydrogen molecules,The Coulomb Force
27,Why is deuterium nicknamed “heavy hydrogen”,It has had an additional neutron,It has an additional electron,It has an additional proton,It has an additional positron
28,Which of the following lists the reactions in star formation in the correct order?,Hydrogen to deuterium to helium,Hydrogen to helium to deuterium,Helium to deuterium to hydrogen,Helium to hydrogen to deuterium
29,Which of the following has the most protons,Helium,Hydrogen,Deuterium,Tritium
30,Why does the formation of Helium-4 release energy?,Mass is reduced,Mass is increased,Velocity is reduced,Velocity is increased
1,Which of the following lists of particles is ordered from smallest to largest?,"Electron, proton, nucleus, atom","Atom, electron, proton, nucleus","Atom, electron, proton, nucleus","Electron, nucleus, atom, neutron"
2,Which of the following defines what element an atom is?,Its number of protons,Its number of neutrons,Its number of electrons,Its mass
3,"Suppose that in some atom, a proton is converted into a neutron. What changes as a result of this conversion?",The atom's element,The atom's mass (in atomic mass units),The atom's velocity,The atom's density
4,Which of the following lists is ordered from smallest to largest?,"Star, solar system, galaxy, universe","Galaxy, solar system, Milky Way, universe","Planet, galaxy, star, solar system","Earth, solar system, universe, galaxy"
5,Which of the following are located in the nucleus of an atom?,Protons and neutrons,Only protons,Only electrons,Neutrons and electrons
6,Which of the following has the least mass?,An electron,A proton,A neutron,A hydrogen atom
7,What percent of an atom’s space does its nucleus occupy?,Less than 1%,10%,50%,More than 90%
8,"In the famous equation attributed to Albert Einstein, E=mcˆ2, what does the letter ”m” represent?",Mass,Momentum,Moment of inertia,Moles
9,"If I were to heat up an inflated balloon, which of the the following would occur?",The balloon would expand,The balloon would shrink,None of these answers are correct,The balloon could expand or shrink depending on whether it's filled with air or helium gas
10,Which of the following is a difference between an electrostatic field and a magnetic field,An electrostatic field can have monopoles,A magnetic field can have monopoles,An electrostatic field cannot have dipoles,A magnetic field cannot have dipoles
11,What is one way in which light waves are different from sound waves?,Light waves do not require a medium to travel through,Sound waves do not require a medium to travel through,Light waves require a medium to travel through,Light waves and sound waves do not differ
12,Which of the following is a correct statement about light waves:,Higher frequency correlates to higher energy,Shorter wavelength correlates to lower frequency,Lower frequency correlates to higher energy,Higher energy correlates to longer wavelength
13,"Order the following electromagnetic wavelengths from longest to shortest: radio waves, visible light, x-rays","Radio waves, visible light, x-rays","Radio waves, x-rays, visible light","X-rays, radio waves, visible light","Visible light, x-rays, radio waves"
14,Which of the following is a scalar quantity?,Energy,Velocity,Acceleration,Force
15,Which of the following is a vector quantity?,Displacement,Speed,Mass,Temperature
16,Which of the following is an example of a simple machine?,All of the above,Lever,Wheelbarrow,Screw
17,Which type of energy is stored in an object due to its position or height?,Gravitational potential energy,Kinetic energy,Thermal energy,Elastic potential energy
18,What is the term used to describe an atom that has gained or lost electrons?,Ion,Isotope,Nucleus,Neutron
19,What is the term used to describe the emission of particles or radiation from an unstable nucleus?,Decay,Radioactivity,Fission,Fusion
20,Which of the following is a unit of force?,Newton,Joule,Watt,Pascal
21,How does the mass of an object affect its acceleration when a constant force is applied to it?,The mass and acceleration are inversely proportional,The mass and acceleration are directly proportional,The mass has no effect on acceleration,The relationship between mass and acceleration depends on the type of force applied
22,What is the process by which a solid turns directly into a gas without passing through the liquid state?,Sublimation,Melting,Evaporation,Condensation
23,Which type of energy is associated with the motion of atoms and molecules?,Thermal energy,Kinetic Energy,Potential Energy,Nuclear Energy
24,Which type of circuit has more than one pathway for electric current to flow?,Parallel circuit,Series circuit,Closed circuit,Open circuit
25,The north pole of the magnetized needle within a compass points toward which of Earth’s poles:,Magnetic north pole,Magnetic south pole,Geographic north pole,Geographic south pole
26,Which of the following is true of the speed of light?,It is the fastest speed in physics,It is slower than the speed of sound,It is unknown,It is a possible speed for human travel
27,"Order the following colors from shortest to longest wavelength: blue, red, yellow","Blue, yellow, red","Red, yellow, blue","Yellow, blue, red","Blue, red, yellow"
28,Which of the following is a measure of the amount of matter in an object?,Mass,Weight,Density,Volume
29,In which direction does a positively charged object move when placed in an electric field?,Towards the field,Away from the field,In a circular motion around the field,It does not move
30,How does the resistance of a wire change as its diameter increases?,It decreases,It increases,It remains constant,It depends on the material of the wire